start_station_name,start_lat,start_lng
Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805
Cypress Ave & George St,40.69812,-73.90271
Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
Irving Ave & Palmetto St,40.698,-73.9127
Concord St & Bridge St,40.69766564,-73.98476437
Nassau St & Duffield St,40.698458433,-73.983377695
Greene Av & Myrtle Av,40.698568,-73.918877
Clark St & Henry St,40.69760127,-73.99344559
Central Ave & Starr Street,40.700024843,-73.92844581599999
Forest Ave & Summerfield St,40.69922,-73.89795
Stephen St & Seneca Ave,40.6988,-73.9007
Melrose St & Broadway,40.697481,-73.935877
Dock 72 Way & Market St,40.69985,-73.97141
Madison St & Cypress Ave,40.70068,-73.90742
Nassau St & Navy St,40.698418617,-73.980801702
Sands St Gate,40.699569,-73.979827
Myrtle Ave & Linden St,40.69943,-73.91337
Myrtle Ave & Grove St,40.69905,-73.91516
Union Ave & Wallabout St,40.70029511,-73.95032283
Sands St & Jay St,40.700119,-73.9862
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773
Adams St & Prospect St,40.70076308326151,-73.98869812488556
Stockholm St & Wilson Ave,40.699313521,-73.92303133
Columbia Heights & Cranberry St,40.700401545,-73.995496273
61 St & 60 Ln,40.70055,-73.8943
Central Ave & Melrose St,40.70112,-73.93039
Centre St & Seneca Ave,40.69969,-73.9022
Beaver St & Fayette St,40.700952411,-73.93905282
5 St & Market St,40.6999974843885,-73.97440128028393
South St & Whitehall St,40.70122128,-74.01234218
Wyckoff Ave & Gates Ave,40.699871408829885,-73.91171872615814
Tompkins Ave & Hopkins St,40.699638367,-73.947114825
Bridge St & York St,40.70133448066992,-73.98471236228943
Irving Ave & Harman St,40.701152205,-73.918085456
Henry St & Middagh St,40.7003,-73.991581
Myrtle Ave & 65 St,40.70117,-73.8904
Cooper Ave & 65 Pl,40.69953,-73.88873
Wilson Ave & Troutman St,40.701683164,-73.927541614
71 Ave & Myrtle Ave,40.70067,-73.89907
Evergreen Ave & Noll St,40.70106,-73.93318
Madison St & Seneca Ave,40.701782346,-73.906301737
Broadway & Whipple St,40.7016657,-73.9437303
Bus Slip & State St,40.701907,-74.013942
Menahan St & Wyckoff Ave,40.70114851,-73.914148569
Front St & Jay St,40.702461,-73.986842
Jay St & York St,40.70140317257725,-73.98672670125961
Pearl St & York St,40.701239586,-73.987810612
Irving Ave & DeKalb Ave,40.7027,-73.92095
Old Fulton St,40.702696204,-73.993755817
Dock St & Front St,40.702709,-73.99253
Cypress Hills St & Otto Rd,40.70204,-73.89288
George St & Wilson Ave,40.702997,-73.92997
Catalpa Ave & Woodward Ave,40.70229,-73.90145
Bushwick Ave & Forrest St,40.700878859,-73.936520338
South St & Broad St,40.70188858913366,-74.01089876890182
Cypress Ave & Palmetto St,40.70157340873792,-73.90876293182373
Front St & Gold St,40.702337623,-73.98250258
